"Age","Attrition","BusinessTravel","DailyRate","Department","DistanceFromHome","Education","EducationField","EnvironmentSatisfaction","Gender","HourlyRate","JobInvolvement","JobLevel","JobRole","JobSatisfaction","MaritalStatus","MonthlyIncome","MonthlyRate","NumCompaniesWorked","Over18","OverTime","PercentSalaryHike","PerformanceRating","RelationshipSatisfaction","StockOptionLevel","TotalWorkingYears","TrainingTimesLastYear","WorkLifeBalance","YearsAtCompany","YearsInCurrentRole","YearsSinceLastPromotion","YearsWithCurrManager","High_satisfaction","Low_satisfaction","MonthlyIncome_scaled","NumCompaniesWorked_scaled","TotalWorkingYears_scaled","TrainingTimesLastYear_scaled","YearsAtCompany_scaled","YearsInCurrentRole_scaled","YearsSinceLastPromotion_scaled","YearsWithCurrManager_scaled","Age_scaled","DailyRate_scaled","DistanceFromHome_scaled","HourlyRate_scaled","MonthlyRate_scaled","PercentSalaryHike_scaled","MonthlyIncome_discret","NumCompaniesWorked_discret","TotalWorkingYears_discret","TrainingTimesLastYear_discret","YearsAtCompany_discret","YearsInCurrentRole_discret","YearsSinceLastPromotion_discret","YearsWithCurrManager_discret","Age_discret","DailyRate_discret","DistanceFromHome_discret","HourlyRate_discret","MonthlyRate_discret","PercentSalaryHike_discret"
41,"1","Travel_Rarely",1102,"Sales",1,"2","Life Sciences","2","Female",94,"3",2,"Sales Executive","4","Single",5993,19479,8,"Y","1",11,"3","1","0",8,0,"1",6,4,0,5,"0","0",0.416310392559723,0.942809041582063,0.447213595499958,0,0.387298334620742,0.471404520791032,0,0.54232614454664,0.547619047619048,0.715819613457409,0,0.914285714285714,0.698052599879542,0,"[0.272,0.484)","[0.666,1]","[0.441,0.629)","[0,0.312)","[0.284,0.448)","[0.181,0.501)","[0,0.153)","[0.424,0.687)","[0.448,0.681)","[0.483,0.739)","[0,0.161)","[0.756,1]","[0.497,0.745)","[0,0.117)"
49,"0","Travel_Frequently",279,"Research & Development",8,"1","Life Sciences","3","Male",61,"2",2,"Research Scientist","2","Married",5130,24907,1,"Y","0",23,"4","4","1",10,3,"3",10,7,1,7,"0","0",0.363503379261944,0.333333333333333,0.5,0.707106781186548,0.5,0.623609564462324,0.258198889747161,0.641688947919748,0.738095238095238,0.126700071581961,0.25,0.442857142857143,0.916000803051596,0.857142857142857,"[0.272,0.484)","[0.167,0.43)","[0.441,0.629)","[0.312,0.72)","[0.448,0.633)","[0.501,0.748)","[0.153,0.46)","[0.424,0.687)","[0.681,1]","[0,0.236)","[0.161,0.43)","[0.261,0.509)","[0.745,1]","[0.62,1]"
37,"1","Travel_Rarely",1373,"Research & Development",2,"2","Other","4","Male",92,"2",1,"Laboratory Technician","3","Single",2090,2396,6,"Y","1",15,"3","2","0",7,3,"3",0,0,0,0,"0","0",0.127235458951937,0.816496580927726,0.418330013267038,0.707106781186548,0,0,0,0,0.452380952380952,0.909806728704367,0.0357142857142857,0.885714285714286,0.0121260791005822,0.285714285714286,"[0,0.272)","[0.666,1]","[0.281,0.441)","[0.312,0.72)","[0,0.284)","[0,0.181)","[0,0.153)","[0,0.424)","[0.448,0.681)","[0.739,1]","[0,0.161)","[0.756,1]","[0,0.247)","[0.117,0.332)"
33,"0","Travel_Frequently",1392,"Research & Development",3,"4","Life Sciences","4","Female",56,"3",1,"Research Scientist","3","Married",2909,23159,1,"Y","1",11,"3","3","0",8,3,"3",8,7,3,0,"0","0",0.202186658806389,0.333333333333333,0.447213595499958,0.707106781186548,0.447213595499958,0.623609564462324,0.447213595499958,0,0.357142857142857,0.923407301360057,0.0714285714285714,0.371428571428571,0.845814093555511,0,"[0,0.272)","[0.167,0.43)","[0.441,0.629)","[0.312,0.72)","[0.284,0.448)","[0.501,0.748)","[0.153,0.46)","[0,0.424)","[0.255,0.448)","[0.739,1]","[0,0.161)","[0.261,0.509)","[0.745,1]","[0,0.117)"
27,"0","Travel_Rarely",591,"Research & Development",2,"1","Medical","1","Male",40,"3",1,"Laboratory Technician","2","Married",3468,16632,9,"Y","0",12,"3","4","1",6,3,"3",2,2,2,2,"0","0",0.24737081693802,1,0.387298334620742,0.707106781186548,0.223606797749979,0.333333333333333,0.365148371670111,0.342997170285018,0.214285714285714,0.350035790980673,0.0357142857142857,0.142857142857143,0.583738205179683,0.0714285714285714,"[0,0.272)","[0.666,1]","[0.281,0.441)","[0.312,0.72)","[0,0.284)","[0.181,0.501)","[0.153,0.46)","[0,0.424)","[0,0.255)","[0.236,0.483)","[0,0.161)","[0,0.261)","[0.497,0.745)","[0,0.117)"
32,"0","Travel_Frequently",1005,"Research & Development",2,"2","Life Sciences","4","Male",79,"3",1,"Laboratory Technician","4","Single",3068,11864,0,"Y","0",13,"3","3","0",8,2,"2",7,7,3,6,"1","0",0.215450159631054,0,0.447213595499958,0.577350269189626,0.418330013267038,0.623609564462324,0.447213595499958,0.594088525786005,0.333333333333333,0.64638511095204,0.0357142857142857,0.7,0.392290704677776,0.142857142857143,"[0,0.272)","[0,0.167)","[0.441,0.629)","[0.312,0.72)","[0.284,0.448)","[0.501,0.748)","[0.153,0.46)","[0.424,0.687)","[0.255,0.448)","[0.483,0.739)","[0,0.161)","[0.509,0.756)","[0.247,0.497)","[0.117,0.332)"
59,"0","Travel_Rarely",1324,"Research & Development",3,"3","Medical","3","Female",81,"4",1,"Laboratory Technician","1","Married",2670,9964,4,"Y","1",20,"4","1","3",12,3,"2",1,0,0,0,"0","1",0.181547895937572,0.666666666666667,0.547722557505166,0.707106781186548,0.158113883008419,0,0,0,0.976190476190476,0.874731567644954,0.0714285714285714,0.728571428571429,0.316000803051596,0.642857142857143,"[0,0.272)","[0.666,1]","[0.441,0.629)","[0.312,0.72)","[0,0.284)","[0,0.181)","[0,0.153)","[0,0.424)","[0.681,1]","[0.739,1]","[0,0.161)","[0.509,0.756)","[0.247,0.497)","[0.62,1]"
30,"0","Travel_Rarely",1358,"Research & Development",24,"1","Life Sciences","4","Male",67,"3",1,"Laboratory Technician","3","Divorced",2693,13335,1,"Y","0",22,"4","2","1",1,2,"3",1,0,0,0,"0","0",0.183573195091395,0.333333333333333,0.158113883008419,0.577350269189626,0.158113883008419,0,0,0,0.285714285714286,0.899069434502505,0.821428571428571,0.528571428571429,0.45135514956836,0.785714285714286,"[0,0.272)","[0.167,0.43)","[0,0.281)","[0.312,0.72)","[0,0.284)","[0,0.181)","[0,0.153)","[0,0.424)","[0.255,0.448)","[0.739,1]","[0.729,1]","[0.509,0.756)","[0.247,0.497)","[0.62,1]"
38,"0","Travel_Frequently",216,"Research & Development",23,"3","Life Sciences","4","Male",44,"2",3,"Manufacturing Director","3","Single",9526,8787,0,"Y","0",21,"4","2","0",10,2,"3",9,7,1,8,"0","0",0.600407038028726,0,0.5,0.577350269189626,0.474341649025257,0.623609564462324,0.258198889747161,0.685994340570035,0.476190476190476,0.0816034359341446,0.785714285714286,0.2,0.268741216623168,0.714285714285714,"[0.484,0.744)","[0,0.167)","[0.441,0.629)","[0.312,0.72)","[0.448,0.633)","[0.501,0.748)","[0.153,0.46)","[0.424,0.687)","[0.448,0.681)","[0,0.236)","[0.729,1]","[0,0.261)","[0.247,0.497)","[0.62,1]"
36,"0","Travel_Rarely",1299,"Research & Development",27,"3","Medical","3","Male",94,"3",2,"Healthcare Representative","3","Married",5237,16577,6,"Y","0",13,"3","2","2",17,3,"2",7,7,7,7,"0","0",0.370280219648681,0.816496580927726,0.651920240520265,0.707106781186548,0.418330013267038,0.623609564462324,0.683130051063973,0.641688947919748,0.428571428571429,0.856836077308518,0.928571428571429,0.914285714285714,0.581529813290504,0.142857142857143,"[0.272,0.484)","[0.666,1]","[0.629,1]","[0.312,0.72)","[0.284,0.448)","[0.501,0.748)","[0.46,0.749)","[0.424,0.687)","[0.255,0.448)","[0.739,1]","[0.729,1]","[0.756,1]","[0.497,0.745)","[0.117,0.332)"
